Wort,Count,Lemma,Pos,Number,Case,Gender,VerbForm,Person,Mood,Tense,Degree,PronType,Foreign,Poss,Definite,Reflex
wollen,26,wollen,AUX,Plur,,,Fin,3,Ind,Pres,,,,,,
ab,25,ab,ADP,,,,,,,,,,,,,
wort,25,Wort,NOUN,Sing,Nom,Neut,,,,,,,,,,
bleiben,24,bleiben,VERB,,,,Inf,,,,,,,,,
passiert,24,passieren,VERB,Sing,,,Fin,3,Ind,Pres,,,,,,
canton,24,Canton,PROPN,Sing,Nom,,,,,,,,,,,
s,24,s,PRON,Sing,Nom,Neut,,3,,,,Prs,,,,
dein,24,dein,DET,Sing,Nom,Masc,,,,,,Prs,,Yes,,
raum,24,Raum,NOUN,Sing,Nom,Masc,,,,,,,,,,
waren,23,sein,AUX,Plur,,,Fin,3,Ind,Past,,,,,,
bis,23,bis,CCONJ,,,,,,,,,,,,,
kind,23,Kind,NOUN,Sing,Nom,Neut,,,,,,,,,,
helfen,23,helfen,VERB,,,,Inf,,,,,,,,,
finden,23,finden,VERB,Plur,,,Fin,3,Ind,Pres,,,,,,
schiff,23,Schiff,VERB,Sing,,,Fin,3,Ind,Past,,,,,,
pond,22,Pond,PROPN,Sing,Nom,,,,,,,,,,,
gott,22,Gott,NOUN,Sing,Nom,Masc,,,,,,,,,,
gerade,22,gerade,ADV,,,,,,,,,,,,,
universum,22,Universum,PROPN,Sing,Nom,Masc,,,,,,,,,,
meinen,22,meinen,VERB,Plur,,,Fin,3,Ind,Pres,,,,,,
erinnern,22,erinnern,VERB,Plur,,,Fin,3,Ind,Pres,,,,,,
sieh,21,Sieh,VERB,Sing,,,,2,Imp,,,,,,,
seine,21,sein,DET,Sing,Nom,Fem,,,,,,Prs,,Yes,,
hin,21,hin,ADV,,,,,,,,,,,,,
ordnung,21,Ordnung,NOUN,Sing,Nom,Fem,,,,,,,,,,
house,21,House,PROPN,Sing,Nom,,,,,,,,,,,
wurde,20,werden,AUX,Sing,,,Fin,3,Ind,Past,,,,,,
unsere,20,unser,DET,Sing,Nom,Fem,,,,,,Prs,,Yes,,
sagt,20,sagen,VERB,Sing,,,Fin,3,Ind,Pres,,,,,,
ort,20,Ort,NOUN,Sing,Nom,Masc,,,,,,,,,,
warst,20,warst,ADV,,,,,,,,,,,,,
nun,20,nun,ADV,,,,,,,,,,,,,
drei,20,drei,NUM,,,,,,,,,,,,,
geben,20,geben,VERB,,,,Inf,,,,,,,,,
ohne,19,ohne,ADP,,,,,,,,,,,,,
brauchen,19,brauchen,VERB,Plur,,,Fin,3,Ind,Pres,,,,,,
seit,19,seit,ADP,,,,,,,,,,,,,
raus,19,raus,ADV,,,,,,,,,,,,,
river,19,riv,ADJ,Sing,Nom,Masc,,,,,Pos,,,,,
tot,19,tot,ADV,,,,,,,,Pos,,,,,
damit,19,damit,ADV,,,,,,,,,,,,,
denen,19,der,PRON,Plur,Dat,,,,,,,Dem,,,,
leute,19,Leute,NOUN,Plur,Nom,,,,,,,,,,,
einmal,19,einmal,ADV,,,,,,,,,,,,,
genug,19,genug,DET,,,,,,,,,Ind,,,,
sei,19,sein,AUX,Sing,,,Fin,3,Sub,Pres,,,,,,
vom,19,von,ADP,Sing,Dat,Masc,,,,,,,,,,
cleaves,19,Cleaves,PROPN,Sing,Nom,,,,,,,,,,,
beide,18,beide,PRON,Plur,Nom,,,,,,,Ind,,,,
glaube,18,glauben,VERB,Sing,,,Fin,3,Sub,Pres,,,,,,
eines,18,einer,PRON,Sing,Nom,Neut,,,,,,Ind,,,,
bedeutet,18,bedeuten,VERB,Sing,,,Fin,3,Ind,Pres,,,,,,
moment,18,Moment,NOUN,Sing,Nom,Masc,,,,,,,,,,
president,18,president,VERB,,,,Part,,,,,,,,,
teufel,18,Teufel,NOUN,Sing,Nom,Masc,,,,,,,,,,
zur,18,zu,ADP,Sing,Dat,Fem,,,,,,,,,,
jen,18,Jen,PROPN,Sing,Nom,Masc,,,,,,,,,,
narren,18,narren,VERB,,,,Inf,,,,,,,,,
ganze,17,ganz,ADJ,Sing,Nom,Fem,,,,,Pos,,,,,
augen,17,Auge,NOUN,Plur,Nom,Neut,,,,,,,,,,
unter,17,unter,ADP,,,,,,,,,,,,,
wollte,17,wollen,AUX,Sing,,,Fin,3,Ind,Past,,,,,,
ihren,17,ihr,DET,Sing,Acc,Masc,,,,,,Prs,,Yes,,
her,16,her,ADV,,,,,,,,,,,,,
musst,16,musst,VERB,,,,Part,,,,,,,,,
selbst,16,selbst,ADV,,,,,,,,,,,,,
welt,16,weln,NOUN,Sing,Nom,Fem,,,,,,,,,,
hatte,16,haben,AUX,Sing,,,Fin,3,Ind,Past,,,,,,
wurden,16,werden,AUX,Plur,,,Fin,3,Ind,Past,,,,,,
sterben,16,sterben,VERB,Plur,,,Fin,3,Ind,Pres,,,,,,
frau,16,Frau,NOUN,Sing,Nom,Fem,,,,,,,,,,
minuten,16,Minute,NOUN,Plur,Nom,Fem,,,,,,,,,,
na,16,na,X,,,,,,,,,,,,,
wasser,16,Wasser,NOUN,Sing,Nom,Neut,,,,,,,,,,
lord,16,Lord,NOUN,Sing,Nom,Masc,,,,,,,,,,
denkst,15,denkst,VERB,Sing,,,Fin,2,Ind,Pres,,,,,,
dr,15,--,X,,,,,,,,,,,,,
jemand,15,jemand,PRON,Sing,Nom,Masc,,,,,,Ind,,,,
macht,15,machen,VERB,Sing,,,Fin,3,Ind,Pres,,,,,,
heute,15,heute,ADV,,,,,,,,,,,,,
jahre,15,Jahr,NOUN,Plur,Nom,Neut,,,,,,,,,,
ding,15,ding,VERB,Sing,,,Fin,3,Ind,Past,,,,,,
recht,15,recht,ADV,,,,,,,,,,,,,
sollen,15,sollen,AUX,Plur,,,Fin,3,Ind,Pres,,,,,,
dieses,15,dieser,PRON,Sing,Nom,Neut,,,,,,Dem,,,,
tust,15,Tust,PROPN,Sing,Nom,Masc,,,,,,,,,,
anderen,15,anderer,PRON,Plur,Dat,,,,,,,Ind,,,,
frage,15,Frage,NOUN,Sing,Nom,Fem,,,,,,,,,,
diesen,15,dieser,PRON,Plur,Dat,,,,,,,Dem,,,,
diesem,15,dieser,DET,Sing,Dat,Masc,,,,,,Dem,,,,
all,15,all,DET,,,,,,,,,Ind,,,,
besser,14,gut,ADV,,,,,,,,Cmp,,,,,
sir,14,Sir,NOUN,Sing,Nom,Masc,,,,,,,,,,
dachte,14,denken,VERB,Sing,,,Fin,3,Ind,Past,,,,,,
egal,14,egal,ADV,,,,,,,,,,,,,
verstehe,14,verstehen,VERB,Sing,,,Fin,3,Sub,Pres,,,,,,
viele,14,vieler,PRON,Plur,Nom,,,,,,,Ind,,,,
gesagt,14,sagen,VERB,,,,Part,,,,,,,,,
keinen,14,keiner,PRON,Sing,Acc,Masc,,,,,,Ind,,,,
halten,14,halten,VERB,,,,Inf,,,,,,,,,
daran,14,daran,ADV,,,,,,,,,,,,,
unten,14,unten,ADV,,,,,,,,,,,,,
song,13,Song,PROPN,Sing,Nom,,,,,,,,,,,
getan,13,tun,VERB,,,,Part,,,,,,,,,
retten,13,retten,VERB,Plur,,,Fin,3,Ind,Pres,,,,,,
doch,13,doch,CCONJ,,,,,,,,,,,,,
einzige,13,einzig,ADJ,Sing,Nom,Fem,,,,,Pos,,,,,
richtig,13,richtig,ADV,,,,,,,,Pos,,,,,
angst,13,Angst,NOUN,Sing,Nom,Fem,,,,,,,,,,
andere,13,anderer,PRON,Plur,Nom,,,,,,,Ind,,,,
boss,13,Boss,PROPN,Sing,Nom,,,,,,,,,,,
problem,13,Problem,NOUN,Sing,Nom,Neut,,,,,,,,,,
junge,13,jung,ADJ,Plur,Nom,Masc,,,,,Pos,,,,,
woher,13,woher,ADV,,,,,,,,,Int,,,,
namen,13,Name,NOUN,Plur,Nom,Masc,,,,,,,,,,
kleine,13,klein,ADJ,Sing,Nom,Fem,,,,,Pos,,,,,
warten,13,warten,VERB,,,,Inf,,,,,,,,,
sollten,13,sollen,AUX,Plur,,,Fin,3,Ind,Past,,,,,,
sirene,13,siren,ADJ,Sing,Nom,Fem,,,,,Pos,,,,,
buzzer,13,Buzzer,NOUN,Plur,Nom,Masc,,,,,,,,,,
fabrik,13,Fabrik,NOUN,Sing,Nom,Fem,,,,,,,,,,
corax,12,Corax,PROPN,Sing,Nom,Fem,,,,,,,,,,
letzte,12,letzter,ADJ,Sing,Nom,Fem,,,,,Pos,,,,,
halte,12,halten,VERB,Sing,,,Fin,3,Sub,Pres,,,,,,
lords,12,lords,X,,,,,,,,,,Yes,,,
ins,12,in,ADP,Sing,Acc,Neut,,,,,,,,,,
braucht,12,brauchen,VERB,Sing,,,Fin,3,Ind,Pres,,,,,,
naja,12,Naja,X,,,,,,,,,,,,,
vertrauen,12,vertrauen,VERB,,,,Inf,,,,,,,,,
meiner,12,mein,DET,Plur,Gen,Masc,,,,,,Prs,,Yes,,
fragen,12,fragen,VERB,,,,Inf,,,,,,,,,
gemacht,12,machen,VERB,,,,Part,,,,,,,,,
niemals,12,niemals,ADV,,,,,,,,,,,,,
ob,12,ob,SCONJ,,,,,,,,,,,,,
konnte,12,können,AUX,Sing,,,Fin,3,Ind,Past,,,,,,
ahnung,12,Ahnung,NOUN,Sing,Nom,Fem,,,,,,,,,,
lass,12,lass,ADV,,,,,,,,Pos,,,,,
bekommen,12,bekommen,VERB,,,,Inf,,,,,,,,,
schnell,12,schnell,ADV,,,,,,,,Pos,,,,,
denken,12,denken,VERB,Plur,,,Fin,3,Ind,Pres,,,,,,
kopf,12,Kopf,NOUN,Sing,Nom,Masc,,,,,,,,,,
verlassen,12,verlassen,VERB,,,,Inf,,,,,,,,,
baby,12,baby,X,,,,,,,,,,Yes,,,
silence,12,silence,PROPN,Sing,Nom,,,,,,,,,,,
melody,12,Melody,NOUN,Sing,Nom,Fem,,,,,,,,,,
versucht,11,versuchen,VERB,,,,Part,,,,,,,,,
klar,11,klar,ADV,,,,,,,,Pos,,,,,
entschuldigung,11,Entschuldigung,NOUN,Sing,Nom,Fem,,,,,,,,,,
wann,11,Wann,ADV,,,,,,,,,Int,,,,
alt,11,alt,ADV,,,,,,,,Pos,,,,,
wenig,11,wenig,PRON,,,,,,,,,Ind,,,,
zukunft,11,Zukunft,NOUN,Sing,Nom,Fem,,,,,,,,,,
niemand,11,niemand,PRON,Sing,Nom,Masc,,,,,,Ind,,,,
wartet,11,warten,VERB,Sing,,,Fin,3,Ind,Pres,,,,,,
tag,11,Tag,NOUN,Sing,Nom,Masc,,,,,,,,,,
gute,11,gut,ADJ,Sing,Nom,Fem,,,,,Pos,,,,,
entlang,11,entlang,ADP,,,,,,,,,,,,,
sage,11,sagen,VERB,Sing,,,Fin,3,Sub,Pres,,,,,,
fast,11,fast,ADV,,,,,,,,,,,,,
soll,11,sollen,AUX,Sing,,,Fin,3,Ind,Pres,,,,,,
