Wort,Num
ich,2166
ist,1664
das,1495
sie,1398
es,1346
du,1200
die,1143
nicht,1094
und,925
der,856
was,701
ein,590
i,560
in,533
wir,513
zu,481
er,434
eine,379
wie,369
sind,368
auf,360
mit,355
aber,348
den,343
mir,342
habe,337
mich,334
da,327
hier,321
so,318
von,300
haben,294
hat,293
bin,288
dass,288
an,277
ihr,271
nur,262
oh,255
war,246
wenn,239
doctor,230
bist,224
dich,222
meine,219
nein,218
kann,217
sich,198
noch,193
sein,189
wird,189
hast,187
jetzt,187
einen,187
alles,185
dem,184
aus,182
uns,180
als,179
dann,175
dir,168
also,160
ja,156
alle,154
wer,153
um,153
rose,148
mein,148
im,141
muss,141
einfach,141
gut,139
keine,138
etwas,130
diese,130
nichts,127
ihn,127
wo,127
warum,126
oder,126
schon,125
immer,122
yeah,121
werden,118
mal,117
euch,114
werde,103
nach,102
los,101
mami,100
sagen,99
sehen,99
geht,97
leben,96
auch,95
dieses,95
welt,94
zeit,91
ihnen,90
sir,88
gehen,87
tun,85
man,85
bitte,85
einem,84
des,83
danke,80
tot,80
denn,80
gesagt,79
vor,79
nun,79
durch,77
gibt,75
hab,73
wurde,73
s,72
okay,72
gott,72
weg,71
mehr,71
kein,70
erde,70
dieser,69
vielleicht,68
weil,67
tut,66
dein,64
kannst,64
passiert,63
kommen,63
wirklich,62
menschen,62
zum,62
raus,61
bei,60
diesem,60
nie,60
deine,59
rein,59
wissen,59
sollte,59
einer,59
machen,59
gesehen,58
will,58
hatte,58
komm,57
jemand,57
macht,57
lassen,57
na,56
art,56
wieder,56
viel,55
sehr,54
kommt,54
doch,53
am,52
ihre,52
gerade,52
ganz,52
glaube,52
genau,52
meinen,51
leid,51
geh,50
besser,49
diesen,49
all,48
lass,48
ihm,48
sonnenfilter,48
minuten,46
soll,46
ganze,46
niemand,46
seid,45
hallo,44
vom,44
denke,44
einmal,43
sterben,42
unter,42
sicher,42
planeten,42
letzte,41
gemacht,40
selbst,40
mann,40
damit,40
ding,40
wollen,40
anderen,40
entschuldigung,40
gar,40
willst,40
bis,39
zur,39
mickey,39
sag,39
alien,37
