De,Ru
~reverse,True
der Saft,сок
der Tee,чай
das Wasser,вода
der Kaffee,кофе
das Bier,пиво
die Milch,молоко
der Wein,вино
die Anzeige,объявление / заявление
mieten,снимать жильё
wohnen,жить (проживать в городе)
die Miete,арендная плата
die Wohnung,квартира
vermieten,сдавать в аренду
das Apartment,апартаменты
der Vermieter,арендодатель
das Haus,дом
umziehen,переезжать
der Eingang,вход / подъезд
die Dusche,душ
der Ausgang,выход
der Balkon,балкон
die Halle,зал
die Küche,кухня
die Toilette,туалет
der Aufzug,лифт
hell,яркий / светлый
die Treppe,лестница
breit,широкий / широко
die Ecke,угол
kaputt,сломанный
der Raum,пространство / комната / космос
reparieren,чинить
das Zimmer,комната
die Reparatur,починка / ремонт
die Farbe,краска / цвет
der Anschluss,подключение
das Bad,ванна
die Möbel,мебель
der Schlüssel,ключ
das Bett,кровать
der Schrank,шкаф
das Sofa,диван
der Kühlschrank,холодильник
der Tisch,стол
der Herd,кухонная плита
das Bild,картина
das Licht,свет
die Uhr,часы
machen,делать
öffnen,открывать
ausmachen,выключать
schließen,закрывать
anmachen,включать
bringen,приносить
tun,делать / поступать
holen,пойти и забрать
suchen,искать
geben,давать
finden,находить / считать
stellen,устанавливать
nehmen,брать
legen,класть
halten,держать / останавливаться
beginnen,начинать (форм)
benutzen,использовать / применять
aufhören,прекращать
das Hobby,хобби
das Kino,кинотеатр
lesen,читать
der Garten,сад
das Buch,книга
kulturell,культурный
die Zeitung,газета
das Lied,песня
fernsehen,смотреть телевизор
rauchen,курить
der Film,фильм
die Zigarette,сигарета
der Sport,спорт
schwimmen,плавать
der Verein,объединение / общество
das Schwimmbad,бассейн
der Fußball,футбол
gewinnen,выигрывать
der Bogen,дуга / лук
der Laden,магазин
günstig,доступный (по цене)
das Geschäft,бизнес / магазин
billig,дешёвый
der Kiosk,киоск
teuer,дорогой
geöffnet,открыто / открытый
bestellen,заказывать
geschlossen,закрыто / закрытый
die Kasse,касса
anbieten,предлагать
zahlen,платить
das Angebot,предложение (оффер)
bezahlen,оплачивать
der Prospekt,проспект
