De,Ru
~reverse,True
der Meter,метр
der Liter,литр
der Zentimeter,сантиметр
das Gramm,грамм
der Quadratmeter,квадратный метр
das Kilogramm,килограмм
das Prozent,процент
das Pfund,фунт
circa,примерно / приблизительно
mehr,больше
bisschen,немного
viel,много
wenig,мало
schwarz,чёрный
grün,зелёный
weiß,белый
rot,красный
grau,серый
gelb,жёлтый
blau,синий
braun,коричневый
wer,кто
warum,почему
was,что
woher,откуда
wo,где
wohin,куда
wie,как
wie viel,как много
wann,когда (вопрос)
was für ein/eine/einen,что за? какой?
die Welt,мир
der Teil,часть
das Land,страна
geradeaus,прямо
die Stadt,город
zurück,назад / обратно
das Dorf,деревня
nach links,налево
die Straße,улица
nach rechts,направо
der Platz,площадь / сидение / место
der Norden,север
der Ort,место
der Süden,юг
der Anfang,начало
der Westen,запад
die Mitte,середина
der Osten,восток
das Ende,конец
rechts,справа
oben,наверху
dort,там
unten,внизу
unter,под
draußen,снаружи / на улице
hinten,сзади
links,слева
hinter,за / позади
sein,быть
weg sein,быть не здесь / отсутствовать
auf sein,быть открытым
zu sein,быть закрытым
aus sein,быть выключенным [тех]
an sein,быть включённым / работать
haben,иметь
müssen,быть должным по необходимости
sollen,быть должным по требованию
werden,становиться
heißen,называться
können,мочь / уметь
brauchen,нуждаться
wollen,хотеть / желать
bekommen,получать
kriegen,получать / воевать
dürfen,мочь по разрешению
gehören,принадлежать
schlafen,спать
laufen,бежать
stehen,стоять
fahren,ехать
aufstehen,вставать
fliegen,летать
liegen,лежать
kommen,"приходить, приезжать"
sitzen,сидеть
tanzen,танцевать
gehen,идти
spielen,играть
alt,старый
klein,маленький
neu,новый
groß,большой / взрослый
jung,молодой
schön,красивый
gut,хороший
kurz,короткий
schlecht,плохой
lang,длинный
normal,нормальный
