De,Ru
~reverse,True
hoch,высокий / вверх
aber,но
vor,перед
oder,или
zwischen,между
und,и
über,над
seit,начиная с(прошл врем)
ab,начиная с(будущ врем)
um,вокруг/во(врем)/о/из-за
an,"у, на (верт. пов.)"
ohne,без
aus,из / изнутри
durch,через / сквозь
in,(прдл) в/через (время)
nach,после
auf,на (гориз. пов.)
zu,к / слишком
von,от
auch,тоже (добавление)
bis,(прдл) до
dann,"потом / затем / тогда"
für,для
denn,ведь
gegen,против
noch,ещё
bei,возле / при / у
sehr,очень
vielleicht,возможно / может быть
also,итак / значит
möglich,возможно / осуществимо
so,так / настолько
nur,только (огранич.; совет)
lieber,лучше / охотнее
wunderbar,чудесный / чудный
besser,лучше
nicht,не
weiter,дальше
nichts,ничего / ничто
leider,к сожалению
das Wetter,погода
der Regen,дождь
der Grad,градус
der See,озеро
klar,ясно
das Meer,море
die Sonne,солнце
das Feuer,огонь
scheinen,светить
der Baum,дерево
der Wind,ветер
die Blume,цветок
regnen,идёт дождь
das Kind,ребёнок
männlich,мужественный / мужской
der Junge,мальчик
die Frau,женщина
das Mädchen,девочка
die Dame,дама
der Jugendliche,молодой человек / девушка
weiblich,женственный / женский
der Mensch,человек
der Herr,мужчина / господин
die Leute,люди
der Mann,мужчина
international,интернациональный
der Gruß,приветствие
bitten,просить
(sich) vorstellen,представлять(ся)
die Bitte,просьба
sagen,сказать
danken,благодарить
sprechen,говорить
der Dank,благодарность
fragen,спрашивать
(sich) entschuldigen,извинять(ся)
die Frage,вопрос
die Entschuldigung,извинение
antworten,отвечать
helfen,помогать
die Antwort,ответ
die Hilfe,помощь
erzählen,рассказывать
das Telefon,телефон
telefonieren,говорить по телефону
das Handy,мобильный телефон
wiederholen,повторять
anrufen,звонить кому-либо по телефону
verstehen,понимать
der Anruf,телефонный звонок
buchstabieren,диктовать по буквам
der Anrufbeantworter,автоответчик
hören,слышать
glauben,верить / считать
sehen,видеть
lustig,весёлый
schmecken,чувствовать вкус / быть на вкус
zufrieden,довольный
riechen,чувствовать запах / пахнуть
ruhig,спокойный
