De,Ru
~reverse,True
der Name,имя
ledig,холостой
der Vorname,имя (в отличие от фамилии)
verheiratet,женат / замужем
unterschreiben,подписывать
das Geburtsjahr,год рождения
die Unterschrift,подпись
der Geburtstag,день рождения
die Bank,скамья / банк
das Konto,счёт (учетная запись)
die Kreditkarte,кредитная карта
das Geld,деньги
die Rechnung,счёт (документ)
bar,наличные
überweisen,переводить
die Post,почта
die Postleitzahl,почтовый индекс
der Brief,письмо
abgeben,отдавать
die Briefmarke,почтовая марка
schicken,отправлять / посылать
der Absender,отправитель
abholen,забрать
der Empfänger,получатель / адресат
die Vorwahl,телефонный код
die Adresse,адрес
besonders,особенно
das Blei,свинец
ziehen,тянуть / тащить
die Kiste,ящик
gucken,глядеть
würdig,достойно
zeigen,"показывать, указывать"
