De,Ru
~reverse,True
Hallo!,Привет!
Vorsicht!,Осторожно!
Willkommen!,Добро пожаловать!
Gerne!,Охотно! С удовольствием!
Bitte!,Пожалуйста!
Tschüß!,Пока!
Danke!,Спасибо!
Auf Wiederhören!,Услышимся!
Achtung!,Внимание!
Auf Wiedersehen!,До встречи!
die Zeit,время
die Sekunde,секунда
das Datum,"дата, число"
der Moment,момент
das Jahr,год
der Morgen,утро
der Monat,месяц
der Vormittag,первая половина дня
die Woche,неделя
der Mittag,полдень
der Tag,день
der Nachmittag,вторая половина дня
die Stunde,час / урок
der Abend,вечер
die Minute,минута
die Nacht,ночь
anfangen,начинать / начинаться
sofort,сейчас же / немедленно
dauern,длиться
heute,сегодня
enden,заканчивать / оканчиваться
gerade,прямо / сейчас / только что
nie,никогда
zurzeit,в этот момент / прямо сейчас
einmal,один раз / однажды
jetzt,сейчас
oft,часто
schon,уже
immer,всегда
früher,раньше
spät,поздно
gestern,вчера
morgen,завтра
bald,скоро
der Wochentag,день недели
der Freitag,пятница
der Montag,понедельник
das Wochenende,выходные
der Dienstag,вторник
der Samstag,суббота
der Mittwoch,среда
der Sonntag,воскресенье
der Donnerstag,четверг
der Frühling,весна
der Mai,май
der Sommer,лето
der Juni,июнь
der Herbst,осень
der Juli,июль
der Winter,зима
der August,август
der Januar,январь
der September,сентябрь
der Februar,февраль
der Oktober,октябрь
der März,март
der November,ноябрь
der April,апрель
der Dezember,декабрь
eins,один [число]
siebzehn,семнадцать
zwei,два
achtzehn,восемнадцать
drei,три
neunzehn,девятнадцать
vier,четыре
zwanzig,двадцать
fünf,пять
dreißig,тридцать
sechs,шесть
vierzig,сорок
sieben,семь
fünfzig,пятьдесят
acht,восемь
sechzig,шестьдесят
neun,девять
siebzig,семьдесят
zehn,десять
achtzig,восемьдесят
elf,одиннадцать
neunzig,девяносто
zwölf,двенадцать
hundert,сто
dreizehn,тринадцать
tausend,тысяча
vierzehn,четырнадцать
die Million,миллион
fünfzehn,пятнадцать
die Milliarde,миллиард
sechzehn,шестнадцать
