De,Ru
~reverse,True
(sich) freuen,радовать(ся)
böse,злой
lachen,смеяться
müde,усталый
gefallen,нравиться
glücklich,счастливый
mögen,предпочитать
das Glück,счастье
lieben,любить
heiraten,жениться / выходить замуж
die Tochter,дочь
sich kümmern,заботиться / позаботиться
der Bruder,брат
die Familie,семья
die Schwester,сестра
die Ehefrau,жена
der Verwandte,родственник
der Ehemann,Муж
die Geschwister,братья и сёстры
der Partner,партнёр
die Großeltern,бабушки и дедушки
die Mutter,мама
die Großmutter,бабушка
der Vater,отец
der Großvater,дедушка
die Eltern,родители
die Oma,бабуля
das Baby,младенец
der Opa,дедуля
der Sohn,сын
der Hund,собака
fremd,чужой
beide,оба
kennen,быть знакомым
(sich) treffen,встречать(ся)
kennenlernen,знакомиться
warten,ждать
bekannt,известный
besuchen,посещать
der Bekannte,знакомый (сущ)
bleiben,оставаться
der Freund,друг
übernachten,переночевать
gleich,равный / похожий / вот-вот
mitbringen,приносить с собой
allein,один / в одиночку
mitkommen,прийти вместе с кем-либо
zusammen,вместе
mitmachen,делать что-то вместе с кем-то
die Party,вечеринка
mitnehmen,взять с собой
gratulieren,поздравлять
die Hochzeit,свадьба
der Glückwunsch,пожелание счастья / пожелание к празднику
die Einladung,приглашение
herzlich,сердечно
einladen,приглашать
feiern,праздновать
der Gast,гость
grillen,жарить гриль
das Geschenk,подарок
der Hunger,голод
trinken,пить
der Durst,жажда
bitter,горький
der Appetit,аппетит
frühstücken,завтракать
kochen,готовить
das Frühstück,завтрак
essen,есть (принимать пищу)
das Glas,бокал / стекло
das Essen,еда
die Flasche,бутылка
die Bäckerei,пекарня
das Restaurant,ресторан
das Café,кафе
die Speisekarte,меню
das Lokal,кафе / забегаловка
die Butter,сливочное масло
der Fisch,рыба
das Ei,яйцо
das Fleisch,плоть / мясо
das Brot,хлеб
das Hähnchen,курочка
das Brötchen,булочка
der Schinken,ветчина
der Kuchen,пирог
das Öl,масло
die Pommes frites,картошка фри
das Salz,соль
der Reis,рис
das Obst,фрукты
das Gemüse,овощ
der Apfel,яблоко
die Kartoffel,картофель
die Banane,банан
der Salat,салат
die Birne,груша
die Tomate,помидор
das Getränk,напиток
