De,Ru
~reverse,True
laut,громко
der Test,тест
leise,тихий / тихо
die Prüfung,экзамен
lernen,учить [что-нибудь]
der Bleistift,простой карандаш
die Schule,школа
der Kugelschreiber,шариковая ручка
die Klasse,класс
das Papier,бумага / документ
der Schüler,ученик / школьник
schreiben,писать
der Lehrer,учитель
wissen,знать о чём-то
studieren,учиться
leicht,лёгкий
das Studium,учёба в вузе
einfach,просто
die Gruppe,группа
schwer,тяжёлый / сложный
der Student,студент
die Lösung,решение / ответ [к задаче]
der Unterricht,занятие
fertig,готовый / готово
die Pause,пауза / перерыв
das Ergebnis,результат
das Thema,тема
richtig,правильный / верный
die Information,информация
falsch,неправильный / ложный
das Beispiel,пример
der Fehler,ошибка
zum Beispiel,например
fehlen,отсутствовать
erklären,объяснять
das Praktikum,практика [после учёбы]
die Aufgabe,задание
der Kurs,курс
der Buchstabe,буква
die Sprache,речь / язык
das Wort,слово
die Aussage,высказывание
der Satz,предложение (язык)
bedeuten,означать / значить
der Text,текст
der Beruf,"род занятий / профессия"
der Chef,шеф
arbeiten,работать
der Kollege,коллега
die Arbeit,работа
der Kunde,клиент
die Anrede,обращение / официальная речь
arbeitslos,безработный
die Ansage,объявление / оповещение о чём-либо
die Firma,фирма
die Durchsage,объявление
selbstständig,самостоятельный / самозанятый
das Gespräch,разговор
die Praxis,врачебный кабинет
das Problem,проблема
die Hausfrau,домохозяйка
wichtig,важно
der Hausmann,домохозяин
der Schluss,конец / завершение
der Arbeitsplatz,рабочее место
der Urlaub,отпуск
die Stelle,место / позиция / должность
verdienen,зарабатывать
die Führung,управление / руководство
der Computer,компьютер
drucken,печатать
das Internet,интернет
drücken,нажимать
das Fax,факс
der Drucker,принтер
der Eintritt,вступление [в организацию / партию] / вход [на мероприятие]
der Zoll,таможня
der Termin,запись на время
die Polizei,полиция
der Schalter,переключатель / окошко [в гос.органах / банке]
der Ausweis,документ / удостоверяющий личность
pünktlich,вовремя
der Pass,паспорт
die Nummer,номер
die Papiere,документы
(sich) anmelden,зарегистрировать(ся)
gültig,действительный / актуальный
die Anmeldung,регистрация
die Ordnung,порядок
die Auskunft,выписка / справка
erlauben,разрешать
das Foto,фото
verboten,запрещать / запрещено
der Beamte,госслужащий
das Formular,формуляр
der Geburtsort,место рождения
ausfüllen,заполнять
das Alter,возраст
ankreuzen,отметить крестиком
der Familienstand,семейное положение
