De,Ru,Learned
~reverse,True
die Ordnung,порядок
das Schiff,корабль
der Raum,пространство / комната / космос
retten,спасать
die Rasse,раса
der Moment,момент
abnehmend,убывающий / снижающийся
der Spalt,щель / трещина
die Luft,воздух
reden,разговаривать / беседовать
der Krieg,война
richtig,правильный / верный
warten,ждать
oben,наверху
versuchen,"пробовать, пытаться"
halten,держать / останавливаться
kontrollieren,контролировать / проверять
falsch,неправильный / ложный
die Stadt,город
der Computer,компьютер
gerne,охотно / с удовольствием
wahr,"истинный, правдивый"
das Raumschiff,космический корабль
die Idee,идея
allein,один / в одиночку
gesamt,целиком
aufhalten,останавливать / задерживать
der Teufel,дьявол
bringen,приносить
bisschen,немного
der Tourist,турист
die Mitarbeiter,сотрудники
der Polizist,полицейский
der Mechaniker,механик
der Leiter,начальник
der Kunde,клиент
