De,Ru,Learned
~reverse,True
die Regel,правило
gehören, принадлежать
der Staat, государство
bedeutet,означает
reinkommen,заходить
abnehmen,худеть
aufstehen,вставать
parken,парковать
studieren,учиться
spazieren,гулять
früh,рано
das Wasser,вода
hässlich,уродливый
klug,умный 
dumm,глупый 
streng,строгий 
gerecht,справедливый 
hell,яркий / светлый
dunkel,тёмный 
lecker,вкусный
bitter,горький
sauer,кислый
süß,сладкий
trocken,сухой
scharf,острый
salzig,солёный
frisch,свежий
kalt,холодный
warm,тёплый
heiß,горячий
schwer,тяжёлый / сложный
kriegen,получать / воевать
leicht,лёгкий
günstig,доступный (по цене)
der Gott,бог
die Erde,Земля
passieren,происходить
der Mensch,человек
lassen,оставлять / позволять
die Art,вид / способ
wieder,снова
das Leid,страдание
sterben,умирать
letzte,последний
selbst,сам / самостоятельно
der Mann,мужчина
das Ding,вещь / предмет
