De,Ru,Learned
~reverse,True
wichtig,важно
die Farbe,краска / цвет
schwarz,чёрный
rot,красный
blau,синий
grün,зелёный
gelb,жёлтый
die Rechnung,счёт (документ)
die Speisekarte,меню
die Vorspeise,закуска
die Hauptspeise,основное блюдо
der Nachtisch,десерт
das Fleisch,плоть / мясо
der Salat,салат
der Käse,сыр
das Obst,фрукты
das Gemüse,овощ
die Nuss,орех
der Kaffee,кофе
der Tee,чай
der Wein,вино
Das Krankenhaus,больница
der Schmerzmittel,обезболивающее
das Medikament,лекарство
die Schmerz,боль
rücken,ворочать / сдвигать с места
der Fuß,стопа
der Bauch,живот
der Bein,нога (выше ступни)
die Hand,кисть руки
der Arm,рука
die Richtung,курс / направление
der Ausgang,выход
der Platz,площадь / сидение / место
rechts,справа
links,слева
das Geradeaus,прямо (сущ)
der Vorname,имя (в отличие от фамилии)
der Nachname,фамилия
die Adresse,адрес
der Beruf,"род занятий / профессия"
der Supermarkt,супермаркет
die Tasche,карман / сумка
die Hilfe,помощь
das Museum,музей
der Berg,гора
das Meer,море
der See,озеро
das Wetter,погода
der Regen,дождь
der Schnee,снег
der Gewitter,гроза
das Internet,интернет
der Passwort,пароль
die Vorsicht,осторожность
aufladen,грузить / заряжать[электр.]
morgens,утром
nachmittags,после полудня
abends,по вечерам / вечером
nachts,ночью / по ночам
früher,раньше
später,позже
der Zug,поезд
der Bus,автобус
das Fahrrad,велосипед
der Fuß,стопа
der Bahnhof,вокзал
die Haltestelle,остановка транспорта
besuchen,посещать
zahlen,платить
toll,отлично / класс!
der Löffel,ложка
die Gabel,вилка
trennen,отдельно / порознь
