Question,Answer
~question_language,ru
~answer_language,de
Это стол. Стол красивый.,Das ist ein Tisch. Der Tisch ist schön.
У него есть машина. Машина новая.,Er hat ein Auto. Das Auto ist neu.
У ребенка есть кукла. Кукла милая.,Das Kind hat eine Puppe. Die Puppe ist nett.
У них есть друзья. Друзья взрослые.,Sie haben Freunde. Die Freunde sind groß.
Он из Германии.,Er kommt aus Deutschland.
У него есть там семья.,Er hat dort eine Familie.
Учитель устал.,Der Lehrer ist müde.
У него много уроков.,Er hat viele Stunden.
У Вас(ув) есть дом. Он дорогой.,Sie haben ein Haus. Es ist teuer.
У вас есть время.,Ihr habt die Zeit.
У кошки есть кровать.,Die Katze hat ein Bett.
Ты дома.,Du bist zuhause.
Подруга грустная.,Die Freundin ist traurig.
Ресторан хороший. У них есть (неопр) лосось.,Das Restaurant ist schön. Sie haben Lachs.
Мы сейчас в Австрии.,Wir sind jetzt in Österreich.
Носки новые.,Die Socken sind neu.
У Вас(ув) есть (неопр) молоко.,Sie haben Milch.
Уже поздно.,Es ist schon spät.
У нее много друзей.,Sie hat viele Freunde.
У меня есть кошка. Она маленькая.,Ich habe eine Katze. Sie ist klein.
Кровать большая.,Das Bett ist groß.
У нас есть работа.,Wir haben die Arbeit.
У ребенка есть учительница.,Das Kind hat eine Lehrerin.
Друзья сегодня уставшие.,Die Freunde sind heute müde.
Кукла очень дорогая.,Die Puppe ist sehr teuer.
У нас мало лосося.,Wir haben wenig Lachs.
Он очень уставший.,Er ist sehr müde.
У них есть кровать. Она большая.,Sie haben ein Bett. Es ist groß.
У него есть носки. Они дорогие.,Er hat Socken. Sie sind teuer.
Уроки уже очень длинные.,Die Stunden sind schon sehr lang.
Ресторан маленький.,Das Restaurant ist klein.
У нее есть кукла. Она красивая.,Sie hat eine Puppe. Sie ist schön.
У тебя есть стол. Стол большой.,Du hast einen Tisch. Der Tisch ist groß.
У тебя есть большая собака.,Du hast einen großen Hund.
У тебя есть шкаф.,Du hast einen Schrank.
