Question,Answer
~question_language,de
~answer_language,de
Männlein,das
Schnee,der
Universität,die
Einsamkeit,die
Kranich,der
Akustik,die
Instrument,das
Dirigent,der
Komponist,der
Violinistin,die
Publikum,das
Uraufführung,die
Proben,die
Rhythmus,der
Patient,der
Krankheit,die
Krankenversicherung,die
Medikament,das
Klinik,die
Röntgen,der
Ärztin,die
Injektion,die
Immunität,die
Chirurgie,die
Wissen,das
Schülerin,die
Lehrer,der
Mathematik,die
Prüfung,die
Experiment,das
Freundschaft,die
Abreisedatum,das
König,der
Produktmarketing,das
Augenblick,der
