Question,Answer
~answer_language,de
Я иду без пальто.,"Ich gehe ohne den Mantel. (Akkusativ, m)"
Мы едем на автобусе.,"Wir fahren mit dem Bus. (Dativ, m)"
Подарок для ребенка.,"Das Geschenk ist für das Kind. (Akkusativ, n)"
Он выходит из дома.,"Er kommt aus dem Haus. (Dativ, n)"
Я жду друга.,"Ich warte auf den Freund. (Akkusativ, m)"
Она разговаривает с учителем.,"Sie spricht mit dem Lehrer. (Dativ, m)"
Он живет с родителями.,"Er wohnt bei den Eltern. (Dativ, Pl.)"
Мы бегаем по парку.,"Wir laufen durch den Park. (Akkusativ, m)"
Это письмо от подруги.,"Das ist ein Brief von der Freundin. (Dativ, f)"
Я иду к врачу.,"Ich gehe zu dem Arzt → zum Arzt (Dativ, m, слияние)"
Я иду без куртки,Ich gehe ohne Jacke.
Мы едем на автобусе,Wir fahren mit dem Bus.
Письмо от моей бабушки.,"Ein Brief von meiner Großmutter. (Dativ, f)"
Она живет у своей подруги.,"Sie wohnt bei ihrer Freundin. (Dativ, f)"
Это подарок для ребенка.,"Das ist ein Geschenk für das Kind. (Akkusativ, n)"
Он идет к врачу.,"Er geht zum Arzt. (Dativ, m — zu + dem → zum)"
Они идут через лес.,"Sie gehen durch den Wald. (Akkusativ, m)"
Мы идем из школы.,"Wir kommen aus der Schule. (Dativ, f)"
Он стоит у двери.,"Er steht bei der Tür. (Dativ, f)"
Она нарушает правила.,"Sie geht gegen die Regeln. (Akkusativ, Pl.)"
