Question,Answer
~question_language,de
~answer_language,de

"ich, er/sie/es; müssen",muss
du; müssen,musst
"wir, sie, Sie; müssen",müssen
ihr; müssen,müsst
"ich, er/sie/es; sollen",soll
du; sollen,sollst
"wir, sie, Sie; sollen",sollen
ihr; sollen,sollt
"ich, er/sie/es; können",kann
du; können,kannst
"wir, sie, Sie; können",können
ihr; können,könnt
"ich, er/sie/es; dürfen",darf
du; dürfen,darfst
"wir, sie, Sie; dürfen",dürfen
ihr; dürfen,dürft
"ich, er/sie/es; wollen",will
du; wollen,willst
"wir, sie, Sie; wollen",wollen
ihr; wollen,wollt
"ich, er/sie/es; mögen",mag
du; mögen,magst
"wir, sie, Sie; mögen",mögen
ihr; mögen,mögt

"ich, er/sie/es; möchten",möchte
du; möchten,möchtest
"wir, sie, Sie; möchten",möchten
ihr; möchten,möchtet
"ich, er/sie/es; könnten",könnte
"du; könnten",könntest
"wir, sie, Sie; könnten",könnten
"ihr; könnten",könntet
"ich, er/sie/es; würden",würde
"du; würden",würdest
"wir, sie, Sie; würden",würden
"ihr; würden",würdet
