De,Ru
~reverse,True
"der Service",сервис
"der Tipp",совет
"der Workshop","мастерская, воркшоп"
"der Feierabend",конец рабочего дня
"der Feiertag","выходной, праздник"
kostenlos,бесплатно
preiswert,недорого
sparen,экономить
ausgeben,тратить
"der Kredit",кредит
"das Taschengeld",карманные деньги
"die Geldbörse",кошелёк
"die Ermäßigung",скидка
"das Paket",посылка
"die Postkarte",открытка
"die Situation",ситуация
sich kümmern,заботиться
sich bedanken,благодарить
sich beschweren,жаловаться
beraten,консультировать
raten,"советовать, угадывать"
vereinbaren,"согласовать [время], договориться"
verschieben,передвинуть
ändern,изменить
bestätigen,подтвердить
vorbereiten,подготовить
wechseln,"сменить, заменить"
kontrollieren,контролировать / проверять
fertig sein,быть готовым
gültig sein,быть действительным
eintragen,"записать, внести"
"die Erlaubnis",разрешение
erlaubt sein,быть разрешённым
verbieten,запретить
"der Apparat",аппарат
"das Gerät","прибор, инструмент"
"der Fernseher",телевизор
"der Laptop",ноутбук
"das Tablet",планшет
"das Mobiltelefon",мобильный телефон
"das E-Book",электронная книга
"der Blog",блог
"die Website",сайт в интернете
"die Webseite",страница в интернете
"die Homepage",домашняя страница
"das Programm",программа
"die Mailbox",электронный почтовый ящик
"die E-Mail","электронная почта, письмо"
"das Passwort",пароль
"der Link",ссылка
"die Datei",файл
online,онлайн
surfen,серфить в интернете
herunterladen,скачивать
speichern,сохранять
"das Mal",раз
"die Menge",количество
"die Zahl",число
wie viele,сколько
ein paar,несколько
wenige,"некоторые, мало кто/что"
wenigstens,"как минимум, по крайней мере"
meistens,"в большинстве случаев, в основном"
mindestens,"минимум, по меньшей мере"
selbst,сам / самостоятельно
jeder,каждый
jemand,кто-то
man,некто(безл)
manche,некоторые
niemand,никто
welche,"которые, некоторые"
etwas,что-нибудь / немного
kein,никакой / не
gern,"охотно, с удовольствием"
genau,точно
sicher,наверняка / безопасно
natürlich,конечно / естественно
wahrscheinlich,возможно
hoffentlich,надеюсь
wirklich,действительно
toll,классно / круто
schade,жаль
fast,почти
endlich,наконец-то!
genug,достаточно
eigentlich,вообще-то / собственно говоря
sogar,даже
sonst,в противном случае
außerdem,кроме того
deshalb,поэтому
doch,"всё-таки да(опровержение отрицания)"
anders,иначе
die Band,музыкальная группа
das Band,лента
der Band,том
das Gehalt,зарплата
der Gehalt,содержимое
der See,озеро
dass,что (союз)
weil,потому что
wenn,если / когда
als,по сравнению с
auf jeden Fall,в любом случае
auf keinen Fall,ни в коем случае
der Bescheid,решение (по запросу)
recht haben,быть правым
der Vorschlag,предложение (идея)
