De,Ru
~reverse,True
erkältet sein,быть простуженным
husten,кашлять
"die Grippe",грипп
"der Schmerz",боль
"die Sprechstunde",консультация врача
"die Apotheke",аптека
"das Medikament",медикамент
"die Tablette",таблетка
sich ausruhen,отдыхать
sterben,умирать
"das Gesicht",лицо
"das Ohr",ухо
"der Zahn",зуб
"der Hals","шея, горло"
"der Körper",тело
"der Rücken",спина
"der Magen",желудок
"der Fuß̈",стопа
"die Creme",крем
die Kosmetik,косметика
"das Parfüm",парфюм
trainieren,тренироваться
"das Training",тренировка
"die Mannschaft",команда
"der Sportplatz",спортплощадка
joggen,бегать трусцой
reiten,ездить верхом
"der Ball",мяч
der Basketball,баскетбол
der Volleyball,волейбол
das Tennis,теннис
"der Ski",лыжи
sich verletzen,получить травму
planen,планировать
prüfen,проверять
rechnen,считать
austauschen,обмениваться
vergleichen,сравнивать
sich merken,запоминать
notieren,записывать
teilen,"делить, делиться"
vergessen,забывать
sich informieren,узнать о чём-либо
berichten,докладывать
beantworten,отвечать
beschreiben,описывать
"die Nachricht",сообщение
"der Artikel",статья
"die Geschichte",история
"die Notiz",заметка
"der Zettel",записка
meinen,"полагать, иметь мнение"
"die Meinung",мнение
"die Idee",идея
"das Gegenteil","противоположность, антоним"
"der Unterschied","разница, отличие"
pro,голос «за» / на единицу
contra,«против»
begründen,обосновывать
dafür sein,быть «за»
dagegen sein,быть «против»
einverstanden sein,быть согласным
egal,"всё равно, безразлично"
wegen,из-за
"die Ausbildung","среднее-профессиональное образование"
"die Universität",университет
"das Stipendium, die Stipendien",стипендия
"das Fach",учебный предмет
"die Tafel",доска
"das Heft",тетрадь
"der Stift",карандаш
"die Kenntnisse",знания
üben,делать упражнения
schriftlich,письменно
übersetzen,переводить
"die Übersetzung",перевод
aussprechen,"произносить, говорить"
"das Quiz","опросник, квиз"
"die Note",оценка
"die Bibliothek",библиотека
"die Cafeteria, die Cafeterien",кафетерий
die Ferien,каникулы
"das Zeugnis","свидетельство, диплом"
kündigen,увольняться
freiwillig,по желанию
"die Bewerbung",резюме
sich bewerben,отправлять резюме
"die Erfahrung",опыт
"das Interview","собеседование, интервью"
"der Wettbewerb","конкурс, конкуренция"
"der Vertrag",договор
"der Mitarbeiter","работник, сотрудник"
"der Babysitter",няня
"die Baustelle",стройка
"das Instrument",инструмент
"das Büro",офис
"das Team",команда
"das Produkt",продукт
"das Projekt",проект
"die Qualität",качество
