De,Ru
~reverse,True
sich erinnern,вспоминать
sich ärgern,злиться
denken,думать
hoffen,надеяться
weinen,плакать
leidtun,вызывать жалость
träumen,"мечтать, видеть сны"
"der Traum",мечта
bequem,удобно
romantisch,романтично
aufregend,волнительно
spannend,увлекательно
langweilig,скучно
witzig,"смешно, шутливо"
fantastisch,фантастически
komisch,"забавно, странно"
furchtbar,"ужасающе, пугающе"
schrecklich,"ужасно, страшно"
"der Stress",стресс
stressig,стрессово
"die Ahnung",предположение
"die Angst",страх
Lieblings,любимый
"die Lust",желание
"die Person",персона
"der Kontakt",контакт
"der Rentner",пенсионер
"der Besuch","визит, посещение"
"die Feier",празднование
"das Fest",праздник
"der Wunsch",пожелание
wünschen,желать
schenken,дарить
dabei sein,"быть, присутствовать при чём-либо"
verabredet sein,договориться встретиться
"das Paar",пара
"der Ehepartner",супруг
sich verlieben,влюбляться
chatten,чатиться
rufen,"кричать, звать"
ansehen,"смотреть, поглядеть"
zuhören,внимательно слушать кого-либо
sich unterhalten,"общаться, беседовать"
reden,разговаривать / беседовать
diskutieren,дискутировать
mitspielen,"подыгрывать, играть с кем-либо вместе"
schimpfen,"обзывать, ругать"
sich streiten,ругаться
lügen,лгать
"die Lüge",ложь
"das Interesse",интерес
sich interessieren,интересоваться
interessant,интересно
der Spaß,веселье / удовольствие
"die Musik",музыка
das Radio,радио
"die Sendung","передача по тв, радио"
singen,петь
"die Gitarre",гитара
das Klavier,пианино / фортепиано
"die Zeitschrift",журнал
"das Rätsel",загадка
"der Krimi",детектив
"der Comic",комикс
"die Kamera",камера
"der Fotoapparat",фотоаппарат
fotografieren,фотографировать
zeichnen,"рисовать [карандашом], чертить"
malen,рисовать
basteln,мастерить
sammeln,"собирать, коллекционировать"
spazieren gehen,идти гулять
"der Spaziergang",прогулка
"das Zelt",палатка
"das Spiel",игра
"der Witz",шутка
"der Zirkuse",цирк
"der Club",клуб
"die Kultur",культура
"die Kunst",искусство
"die Veranstaltung",представление
"die Ausstellung",выставка
"das Festival",фестиваль
"das Theater",театр
"der Titel","название, заголовок"
"das Plakat",плакат
"das Poster",постер
beliebt,пользующийся популярностью
berühmt,знаменитый
"der Fan",фанат
"der Star",звезда
"die Tour",тур
"das Konzert",концерт
die Krankenkasse","медицинская страховка, больничная касса в германии"
die Krankheit,болезнь
die Gesundheit,здоровье
gesund,здоровый
schwanger,беременна
