De,Ru
~reverse,True
zuletzt,в завершение
der Tourist,турист
reservieren,резервировать
buchen,бронировать
packen,собирать чемоданы
einpacken,"упаковать, собрать"
der Rucksack,рюкзак
der Weg,"путь, дорога"
unterwegs sein,быть в пути
der Flug,полёт
das Schiff,корабль
erreichen,достигать
verpassen,"пропустить, упустить"
die Unterkunft,место для ночлега
auspacken,распаковывать чемоданы
der Strand,(морской) берег / пляж
die Jugendherberge,хостел для молодёжи
verreisen,уезжать
der Rundgang,"прогулка, экскурсия"
die Fundsache,"найденная вещь, которую кто-то потерял"
der Umzug,переезд
umziehen,переезжать
einziehen,заезжать в квартиру/дом
das Stockwerk/der Stock/die Etage,этаж
das Erdgeschoss,первый этаж
das Wohnzimmer,гостиная
das Schlafzimmer,спальня
der Keller,подвал
die Heizung,отопление
das Fenster,окно
die Lampe,лампа
der Stuhl,стул
die Tür,дверь
renovieren,делать ремонт
der Nachbar,сосед
der Haushalt,домашнее хозяйство
das Mittel,средство
die Reinigung,"уборка, чистка"
putzen,"чистить, убирать"
aufräumen,убираться
die Seife,мыло
die Wäsche,бельё
das Handtuch,полотенце
der Schirm,"ширма, заграждение"
der Kalender,календарь
das Ding,вещь / предмет
die Sache,"вещь, дело"
das Geschirr,посуда
der Löffel,ложка
das Messer,нож
die Gabel,вилка
die Tasse,чашка
der Teller,тарелка
der Topf,"кастрюля, горшок"
die Schere,ножницы
der Müll,мусор
schneiden,резать
sich schneiden,порезаться
backen,печь
braten,жарить
das Mittagessen,обед
"das Rezept",рецепт
"das Gericht","суд, блюдо"
"die Portion",порция
"das Stück",штука
"der Rest","остаток, сдача"
probieren,пробовать
frisch,свежий
süß,сладкий
sauer,кислый
scharf,острый
"der Supermarkt",супермаркет
"das Mineralwasser",минеральная вода
das Rind,говядина
"die Wurst",колбаса
"der Käse",сыр
"die Bohne",бобы
"die Orange",апельсин
"die Zitrone",лимон
"der Hamburger",гамбургер
die Nudeln,лапша
"die Pizza",пицца
"die Süßigkeit",сладость
"der Zucker",сахар
das Eis,"лёд, мороженое"
"die Schokolade",шоколад
"die Torte",торт
"die Suppe",суп
sich setzen,садиться
setzen,сажать
fallen,падать
hängen,"висеть, вешать"
klappen,удаваться
passen,подходить (соответствовать)
passieren,происходить
stattfinden,состояться
sich beeilen,поторапливаться
ausgehen,выходить в свет
bestehen,состоять
lassen,оставлять / позволять
