De,Ru
~reverse,True
die Hauptstadt,столица
der Park,парк
das Zentrum,центр
die Kirche,церковь
das Schloss,замок
das Rathaus,ратуша
die Messe,выставка-ярмарка
der Zoo,зоопарк
das Kaufhaus,торговый дом
das Einkaufszentrum,торговый центр
der Markt,рынок
der Flohmarkt,"блошиный рынок, барахолка"
die Reihe,ряд
die Kette,цепь
nass,мокрый
trocken,сухой
heiß,горячий
warm,тёплый
kühl,прохладный
kalt,холодный
dunkel,тёмный
der Nebel,туман
neblig,туманно
sonnig,солнечно
windig,ветрено
der Himmel,небо
das Gewitter,гроза
die Wolke,облако
bewölkt,облачно
der Schnee,снег
schneien,идёт снег
die Natur,природа
die Landschaft,ландшафт
der Berg,гора
die Insel,остров
der Fluss,река / поток
der Wald,лес
die Pflanze,растение
das Blatt,лист
die Rose,роза
die Ruhe,"тишина, покой"
das Tier,животное / зверь
der Vogel,птица
die Katze,кошка
das Pferd,лошадь
das Schwein,свинья
der Motor,мотор
der Wagen,автомобиль
der Motorroller,мотороллер
der Führerschein,водительское удостоверение
parken,парковать
die Garage,гараж
der Unfall,несчастный случай
die Werkstatt,автосервис
der Verkehr,транспорт
das Verkehrsmittel,транспортное средство
umsteigen,"пересаживаться (транспорт)"
die Verspätung,опоздание
der Stadtplan,план города
der Fahrplan,расписание движения
die Brücke,мост
die Ampel,светофор
dorther,оттуда
dorthin,вон туда
heraus,сюда наружу
herein,сюда внутрь
vorbei,мимо
vorwärts,прямо вперед
vorne,впереди
außer,кроме / за исключением
außerhalb,за пределами
drinnen,внутри
drüben,"с другой стороны, с той стороны"
gegenüber,напротив
nächste,следующий
neben,рядом (по соседству) с
nirgends,нигде
überall,повсюду
weit,далеко
"das Ziel, -e",цель
die Nähe,близость
wegbringen,унести
wegfahren,уехать
weggehen,уйти
weglaufen,убежать
wegnehmen,"отнять, забрать"
werfen,бросать
wegwerfen,выбросить
zurückfahren,ехать обратно
zurückgeben,отдать обратно
zurückgehen,идти обратно
zurückkommen,вернуться
zurücklaufen,бежать обратно
damals,тогда (в прошлом)
erst,"сначала, когда-то"
früh,рано
manchmal,иногда
übermorgen,послезавтра
vorgestern,позавчера
vorher,"до этого (ранее)"
wieder,снова
zuerst,"сначала, для начала"
zuletzt,в завершение
der Tourist,турист
reservieren,резервировать
buchen,бронировать
packen,собирать чемоданы
einpacken,"упаковать, собрать"
der Rucksack,рюкзак
der Weg,"путь, дорога"
unterwegs sein,быть в пути
der Flug,полёт
das Schiff,корабль
erreichen,достигать
