Question,Answer
~reverse,True
die Regel,правило
gehören, принадлежать
der Staat, государство
bedeutet,означает
reinkommen,заходить
abnehmen,худеть
aufstehen,вставать
parken,парковать
studieren,учиться
spazieren,гулять
früh,рано
das Wasser,вода
hässlich,уродливый
klug,умный 
dumm,глупый 
streng,строгий 
gerecht,справедливый 
hell,яркий 
dunkel,тёмный 
lecker,вкусный
bitter,горький
sauer,кислый
süß,сладкий
trocken,сухой
scharf,острый
salzig,солёный
frisch,свежий
kalt,холодный
warm,тёплый
heiß,горячий
schwer,тяжёлый / сложный
wandern, путешествовать
kriegen, получать
leicht, легкий
günstig, доступный по цене
der Gott,бог
die Erde,Земля
passieren,происходить
der Mensch,человек
lassen,оставлять / позволять
die Art,вид / способ
wieder,снова
das Leid,страдание
lass,позволь / оставь
ganze,весь / целый
sterben,умирать
letzte,последний
selbst,сам
der Mann,мужчина
das Ding,вещь
